id	kimariji_len	kimariji	kami_kana	shimo_kana
001	3	アキノ	アキノタノ カリオノイオノ トマオアラミ	ワガコロモデワ ツユニヌレツツ
002	3	ハルス	ハルスギテ ナツキニケラシ シロタエノ	コロモホスチョー アマノカグヤマ
003	2	アシ	アシビキノ ヤマドリノオノ シダリオノ	ナガナガシヨオ ヒトリカモネン
004	2	タゴ	タゴノウラニ ウチイデテミレバ シロタエノ	フジノタカネニ ユキワフリツツ
005	2	オク	オクヤマニ モミジフミワケ ナクシカノ	コエキクトキゾ アキワカナシキ
006	2	カサ	カササギノ ワタセルハシニ オクシモノ	シロキオミレバ ヨゾフケニケル
007	3	アマノ	アマノハラ フリサケミレバ カスガナル	ミカサノヤマニ イデシツキカモ
008	3	ワガイ	ワガイオワ ミヤコノタツミ シカゾスム	ヨオウジヤマト ヒトワユーナリ
009	3	ハナノ	ハナノイロワ ウツリニケリナ イタズラニ	ワガミヨニフル ナガメセシマニ
010	2	コレ	コレヤコノ ユクモカエルモ ワカレテワ	シルモシラヌモ オーサカノセキ
011	6	ワタノハラヤ	ワタノハラ ヤソシマカケテ コギイデヌト	ヒトニワツゲヨ アマノツリブネ
012	3	アマツ	アマツカゼ クモノカヨイジ フキトジヨ	オトメノスガタ シバシトドメン
013	2	ツク	ツクバネノ ミネヨリオツル ミナノガワ	コイゾツモリテ フチトナリヌル
014	2	ミチ	ミチノクノ シノブモジズリ タレユエニ	ミダレソメニシ ワレナラナクニ
015	6	キミガタメハ	キミガタメ ハルノノニイデテ ワカナツム	ワガコロモデニ ユキワフリツツ
016	2	タチ	タチワカレ イナバノヤマノ ミネニオール	マツトシキカバ イマカエリコン
017	2	チハ	チハヤブル カミヨモキカズ タツタガワ	カラクレナイニ ミズククルトワ
018	1	ス	スミノエノ キシニヨルナミ ヨルサエヤ	ユメノカヨイジ ヒトメヨクラン
019	4	ナニワガ	ナニワガタ ミジカキアシノ フシノマモ	アワデコノヨオ スグシテヨトヤ
020	2	ワビ	ワビヌレバ イマハタオナジ ナニワナル	ミオツクシテモ アワントゾオモー
021	3	イマコ	イマコント イイシバカリニ ナガツキノ	アリアケノツキオ マチイデツルカナ
022	1	フ	フクカラニ アキノクサキノ シオルレバ	ムベヤマカゼオ アラシトユーラン
023	2	ツキ	ツキミレバ チジニモノコソ カナシケレ	ワガミヒトツノ アキニワアラネド
024	2	コノ	コノタビワ ヌサモトリアエズ タムケヤマ	モミジノニシキ カミノマニマニ
025	3	ナニシ	ナニシオワバ オーサカヤマノ サネカズラ	ヒトニシラレデ クルヨシモガナ
026	2	オグ	オグラヤマ ミネノモミジバ ココロアラバ	イマヒトタビノ ミユキマタナン
027	3	ミカノ	ミカノハラ ワキテナガルル イズミガワ	イツミキトテカ コイシカルラン
028	3	ヤマザ	ヤマザトワ フユゾサビシサ マサリケル	ヒトメモクサモ カレヌトオモエバ
029	4	ココロア	ココロアテニ オラバヤオラン ハツシモノ	オキマドワセル シラギクノハナ
030	3	アリア	アリアケノ ツレナクミエシ ワカレヨリ	アカツキバカリ ウキモノワナシ
031	6	アサボラケア	アサボラケ アリアケノツキト ミルマデニ	ヨシノノサトニ フレルシラユキ
032	3	ヤマガ	ヤマガワニ カゼノカケタル シガラミワ	ナガレモアエヌ モミジナリケリ
033	2	ヒサ	ヒサカタノ ヒカリノドケキ ハルノヒニ	シズゴコロナク ハナノチルラン
034	2	タレ	タレオカモ シルヒトニセン タカサゴノ	マツモムカシノ トモナラナクニ
035	3	ヒトワ	ヒトワイサ ココロモシラズ フルサトワ	ハナゾムカシノ カニニオイケル
036	2	ナツ	ナツノヨワ マダヨイナガラ アケヌルオ	クモノイズクニ ツキヤドルラン
037	2	シラ	シラツユニ カゼノフキシク アキノノワ	ツラヌキトメヌ タマゾチリケル
038	3	ワスラ	ワスラルル ミオバオモワズ チカイテシ	ヒトノイノチノ オシクモアルカナ
039	3	アサジ	アサジウノ オノノシノハラ シノブレド	アマリテナドカ ヒトノコイシキ
040	2	シノ	シノブレド イロニイデニケリ ワガコイワ	モノヤオモート ヒトノトーマデ
041	2	コイ	コイスチョー ワガナワマダキ タチニケリ	ヒトシレズコソ オモイソメシカ
042	4	チギリキ	チギリキナ カタミニソデオ シボリツツ	スエノマツヤマ ナミコサジトワ
043	2	アイ	アイミテノ ノチノココロニ クラブレバ	ムカシワモノオオモワザリケリ 
044	3	オーコ	オーコトノ タエテシナクワ ナカナカニ	ヒトオモミオモ ウラミザラマシ
045	3	アワレ	アワレトモ ユーベキヒトワ オモオエデ	ミノイタズラニ ナリヌベキカナ
046	2	ユラ	ユラノトオ ワタルフナビト カジオタエ	ユクエモシラヌ コイノミチカナ
047	2	ヤエ	ヤエムグラ シゲレルヤドノ サビシキニ	ヒトコソミエネ アキワキニケリ
048	3	カゼオ	カゼオイタミ イワウツナミノ オノレノミ	クダケテモノオ オモーコロカナ
049	3	ミカキ	ミカキモリ エジノタクヒノ ヨルワモエ	ヒルワキエツツ モノオコソオモエ
050	6	キミガタメオ	キミガタメ オシカラザリシ イノチサエ	ナガクモガナト オモイケルカナ
051	2	カク	カクトダニ エヤワイブキノ サシモグサ	サシモシラジナ モユルオモイオ
052	2	アケ	アケヌレバ クルルモノトワ シリナガラ	ナオウラメシキ アサボラケカナ
053	3	ナゲキ	ナゲキツツ ヒトリヌルヨノ アクルマワ	イカニヒサシキ モノトカワシル
054	3	ワスレ	ワスレジノ ユクスエマデワ カタケレバ	キョーオカギリノ イノチトモガナ
055	2	タキ	タキノオトワ タエテヒサシク ナリヌレド	ナコソナガレテ ナオキコエケレ
056	3	アラザ	アラザラン コノヨノホカノ オモイデニ	イマヒトタビノ オーコトモガナ
057	1	メ	メグリアイテ ミシヤソレトモ ワカヌマニ	クモガクレニシ ヨワノツキカナ
058	3	アリマ	アリマヤマ イナノササハラ カゼフケバ	イデソヨヒトオ ワスレヤワスル
059	2	ヤス	ヤスラワデ ネナマシモノオ サヨフケテ	カタブクマデノ ツキオミシカナ
060	3	オーエ	オーエヤマ イクノノミチノ トーケレバ	マダフミモミズ アマノハシダテ
061	2	イニ	イニシエノ ナラノミヤコノ ヤエザクラ	キョーココノエニ ニオイヌルカナ
062	2	ヨオ	ヨオコメテ トリノソラネワ ハカルトモ	ヨニオーサカノ セキワユルサジ
063	3	イマワ	イマワタダ オモイタエナン トバカリオ	ヒトズテナラデ ユーヨシモガナ
064	6	アサボラケウ	アサボラケ ウジノカワギリ タエダエニ	アラワレワタル セゼノアジロギ
065	2	ウラ	ウラミワビ ホサヌソデダニ アルモノオ	コイニクチナン ナコソオシケレ
066	2	モロ	モロトモニ アワレトオモエ ヤマザクラ	ハナヨリホカニ シルヒトモナシ
067	3	ハルノ	ハルノヨノ ユメバカリナル タマクラニ	カイナクタタン ナコソオシケレ
068	4	ココロニ	ココロニモ アラデウキヨニ ナガラエバ	コイシカルベキ ヨワノツキカナ
069	3	アラシ	アラシフク ミムロノヤマノ モミジバワ	タツタノカワノ ニシキナリケリ
070	1	サ	サビシサニ ヤドオタチイデテ ナガムレバ	イズクモオナジ アキノユーグレ
071	2	ユー	ユーサレバ カドタノイナバ オトズレテ	アシノマロヤニ アキカゼゾフク
072	2	オト	オトニキク タカシノハマノ アダナミワ	カケジヤソデノ ヌレモコソスレ
073	2	タカ	タカサゴノ オノエノサクラ サキニケリ	トヤマノカスミ タタズモアラナン
074	2	ウカ	ウカリケル ヒトオハツセノ ヤマオロシヨ	ハゲシカレトワ イノラヌモノオ
075	4	チギリオ	チギリオキシ サセモガツユオ イノチニテ	アワレコトシノ アキモイヌメリ
076	6	ワタノハラコ	ワタノハラ コギイデテミレバ ヒサカタノ	クモイニマゴー オキツシラナミ
077	1	セ	セオハヤミ イワニセカルル タキガワノ	ワレテモスエニ アワントゾオモー
078	3	アワジ	アワジシマ カヨーチドリノ ナクコエニ	イクヨネザメヌ スマノセキモリ
079	3	アキカ	アキカゼニ タナビククモノ タエマヨリ	モレイズルツキノ カゲノサヤケサ
080	3	ナガカ	ナガカラン ココロモシラズ クロカミノ	ミダレテケサワ モノオコソオモエ
081	1	ホ	ホトトギス ナキツルカタオ ナガムレバ	タダアリアケノ ツキゾノコレル
082	2	オモ	オモイワビ サテモイノチワ アルモノオ	ウキニタエヌハ ナミダナリケリ
083	5	ヨノナカヨ	ヨノナカヨ ミチコソナケレ オモイイル	ヤマノオクニモ シカゾナクナル
084	3	ナガラ	ナガラエバ マタコノゴロヤ シノバレン	ウシトミシヨゾ イマワコイシキ
085	2	ヨモ	ヨモスガラ モノオモーコロワ アケヤラヌ	ネヤノヒマサエ ツレナカリケリ
086	3	ナゲケ	ナゲケトテ ツキヤワモノオ オモワスル	カコチガオナル ワガナミダカナ
087	1	ム	ムラサメノ ツユモマダヒヌ マキノハニ	キリタチノボル アキノユーグレ
088	4	ナニワエ	ナニワエノ アシノカリネノ ヒトヨユエ	ミオツクシテヤ コイワタルベキ
089	2	タマ	タマノオヨ タエナバタエネ ナガラエバ	シノブルコトノ ヨワリモゾスル
090	2	ミセ	ミセバヤナ オジマノアマノ ソデダニモ	ヌレニゾヌレシ イロワカワラズ
091	2	キリ	キリギリス ナクヤシモヨノ サムシロニ	コロモカタシキ ヒトリカモネン
092	3	ワガソ	ワガソデワ シオヒニミエヌ オキノイシノ	ヒトコソシラネ カワクマモナシ
093	5	ヨノナカワ	ヨノナカワ ツネニモガモナ ナギサコグ	アマノオブネノ ツナデカナシモ
094	2	ミヨ	ミヨシノノ ヤマノアキカゼ サヨフケテ	フルサトサムク コロモウツナリ
095	2	オオ	オオケナク ウキヨノタミニ オオーカナ	ワガタツソマニ スミゾメノソデ
096	3	ハナサ	ハナサソー アラシノニワノ ユキナラデ	フリユクモノワ ワガミナリケリ
097	2	コヌ	コヌヒトオ マツオノウラノ ユーナギニ	ヤクヤモシオノ ミモコガレツツ
098	3	カゼソ	カゼソヨグ ナラノオガワノ ユーグレワ	ミソギゾナツノ シルシナリケル
099	3	ヒトモ	ヒトモオシ ヒトモウラメシ アジキナク	ヨオオモーユエニ モノオモーミワ
100	2	モモ	モモシキヤ フルキノキバノ シノブニモ	ナオアマリアル ムカシナリケリ